,id,is_closed,name,image_url,url,mobile_url,phone,display_phone,review_count,categories,rating,snippet_text,location_address,location_display_address,location_city,location_state_code,location_postal_code,location_country_code,location_cross_streets,location_neighborhoods,location_coordinate,location_latitude,location_longitude
10,causwells-san-francisco-5,False,Causwells,https://s3-media4.fl.yelpcdn.com/bphoto/e6Q0lELP6ji3EtrWTvycKg/ms.jpg,https://www.yelp.com/biz/causwells-san-francisco-5?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/causwells-san-francisco-5?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4154476081,+1-415-447-6081,450.0,"[[American (New), newamerican]]",4.0,"Lights out - a must do in the Marina. Take a look at the menu, sure, but you're getting the burger. Lezzz be honest.

Ranked as one of the Top burgers in...",[2346 Chestnut St],"[2346 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Divisadero St & Scott St,[Marina/Cow Hollow],"{u'latitude': 37.8003693, u'longitude': -122.4419632}",37.8003693,-122.4419632
11,mezes-kitchen-and-wine-bar-san-francisco,False,Mezes Kitchen and Wine Bar,https://s3-media1.fl.yelpcdn.com/bphoto/QrsR-1jlU6TCovNlpFZDPw/ms.jpg,https://www.yelp.com/biz/mezes-kitchen-and-wine-bar-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/mezes-kitchen-and-wine-bar-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4154097111,+1-415-409-7111,344.0,"[[Greek, greek], [Wine Bars, wine_bars]]",4.0,"We were a group of five having dinner before a concert at the Palace of Fine Arts Theater, a short walk away.  The menu provided a a large variety of...",[2373 Chestnut St],"[2373 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Divisadero St & Scott St,[Marina/Cow Hollow],"{u'latitude': 37.799938, u'longitude': -122.4424148}",37.799938,-122.4424148
12,presidio-theatre-san-francisco,False,Presidio Theatre,https://s3-media1.fl.yelpcdn.com/bphoto/rUYjDpCEb3ivAMeXnxY5pw/ms.jpg,https://www.yelp.com/biz/presidio-theatre-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/presidio-theatre-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4157762388,+1-415-776-2388,137.0,"[[Cinema, movietheaters]]",3.0,"I love this place. Have lived in the Marina right around the corner from it for 13 years and the staff is polite, courteous and quick to deliver.  If you...",[2340 Chestnut St],"[2340 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Scott St & Divisadero St,[Marina/Cow Hollow],"{u'latitude': 37.80037, u'longitude': -122.44196}",37.80037,-122.44196
13,palace-of-fine-arts-theatre-san-francisco-2,False,Palace of Fine Arts Theatre,https://s3-media3.fl.yelpcdn.com/bphoto/M44GqfhMTf-S5MdZpz52BA/ms.jpg,https://www.yelp.com/biz/palace-of-fine-arts-theatre-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/palace-of-fine-arts-theatre-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155636504,+1-415-563-6504,10.0,"[[Performing Arts, theater]]",3.5,"We came to this theater for the 38th annual San Francisco Ethnic Dance Festival, which is held over the span of 3 weekends with two shows (2pm, 8pm) for Sat...",[3301 Lyon St],"[3301 Lyon St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Bay St,[Marina/Cow Hollow],"{u'latitude': 37.802026, u'longitude': -122.448831}",37.802026,-122.448831
14,the-dorian-san-francisco,False,The Dorian,https://s3-media1.fl.yelpcdn.com/bphoto/iH-GCS_T0JaH0edPd8lHUQ/ms.jpg,https://www.yelp.com/biz/the-dorian-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/the-dorian-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4158142671,+1-415-814-2671,162.0,"[[American (Traditional), tradamerican], [Cocktail Bars, cocktailbars]]",4.0,"This place was 2cool4skool but also seemed a bit confused about the theme it's going for. The bar area was minimalist, with marble countertops and sleek...",[2001 Chestnut St],"[2001 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Fillmore St & Mallorca Way,[Marina/Cow Hollow],"{u'latitude': 37.80065, u'longitude': -122.4365}",37.80065,-122.4365
15,horseshoe-tavern-san-francisco,False,Horseshoe Tavern,https://s3-media2.fl.yelpcdn.com/bphoto/bw65rHx_DO7KNL7YOOQaxQ/ms.jpg,https://www.yelp.com/biz/horseshoe-tavern-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/horseshoe-tavern-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153461430,+1-415-346-1430,254.0,"[[Pubs, pubs], [Lounges, lounges]]",4.0,"4.5 STARS

After happy hour / dinner nearby, my girlfriend and I wanted to keep the drinks flowing. After yelping bars in the area, I found Horseshoe...",[2024 Chestnut St],"[2024 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Fillmore St & Mallorca Way,[Marina/Cow Hollow],"{u'latitude': 37.8009242, u'longitude': -122.4369199}",37.8009242,-122.4369199
16,marina-lounge-san-francisco,False,Marina Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/jdFx_83d6f2EdjJ_KSxSKQ/ms.jpg,https://www.yelp.com/biz/marina-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/marina-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4159221475,+1-415-922-1475,115.0,"[[Lounges, lounges]]",4.0,"Stumbled into this bar in the mid afternoon, and boy were we happy. The drinks are strong, the decor is dusty. It's absolutely how a bar should be. Peter...",[2138 Chestnut St],"[2138 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Pierce St & Steiner St,[Marina/Cow Hollow],"{u'latitude': 37.80072, u'longitude': -122.43868}",37.80072,-122.43868
17,don-pistos-tequila-bar-san-francisco,False,Don Pistos Tequila Bar,https://s3-media2.fl.yelpcdn.com/bphoto/haiLMD1OxKNk8KMSIRooEA/ms.jpg,https://www.yelp.com/biz/don-pistos-tequila-bar-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/don-pistos-tequila-bar-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4154004522,+1-415-400-4522,39.0,"[[Cocktail Bars, cocktailbars], [Mexican, mexican]]",4.5,"Like WOAH. You know how when you check out a new place and you prepare yourself to be generally disappointed, because they're still working out the kinks...",[2030 Lombard St],"[2030 Lombard St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Webster St & Fillmore St,[Marina/Cow Hollow],"{u'latitude': 37.80025, u'longitude': -122.43537}",37.80025,-122.43537
18,delarosa-san-francisco,False,Delarosa,https://s3-media2.fl.yelpcdn.com/bphoto/_e6JoehPsHcW6CBE6oNBpw/ms.jpg,https://www.yelp.com/biz/delarosa-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/delarosa-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4156737100,+1-415-673-7100,1142.0,"[[Italian, italian], [Cocktail Bars, cocktailbars], [Pizza, pizza]]",4.0,Went there on a Sunday night with five friends and had a great time. Place was packed yet we didn´t have to wait long for our food. Food was amazing......,[2175 Chestnut St],"[2175 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Steiner St & Pierce St,[Marina/Cow Hollow],"{u'latitude': 37.8003663, u'longitude': -122.4391165}",37.8003663,-122.4391165
19,the-tipsy-pig-san-francisco-2,False,The Tipsy Pig,https://s3-media4.fl.yelpcdn.com/bphoto/UXGZcFoYTwa1l6yRhbZ81Q/ms.jpg,https://www.yelp.com/biz/the-tipsy-pig-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/the-tipsy-pig-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4152922300,+1-415-292-2300,1329.0,"[[Gastropubs, gastropubs], [Bars, bars], [American (New), newamerican]]",3.5,"I'm a fan of this place for drinks, not brunch. 

For brunch, it doesn't have many vegetarian-friendly options. I'm not a vegetarian but I do not eat red...",[2231 Chestnut St],"[2231 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Pierce St & Avila St,[Marina/Cow Hollow],"{u'latitude': 37.8002659855, u'longitude': -122.440081925}",37.8002659855,-122.440081925
20,campus-san-francisco,False,Campus,https://s3-media3.fl.yelpcdn.com/bphoto/WPcETzdcrQ0XtjPIAXcKHA/ms.jpg,https://www.yelp.com/biz/campus-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/campus-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4158964110,+1-415-896-4110,72.0,"[[Pubs, pubs], [Lounges, lounges], [Sports Bars, sportsbars]]",4.0,I was here a few months back but didn't actually make it inside due to pride and ego oh and alcohol.  It's cute when someone's boyfriend in a tight baby...,[2241 Chestnut St],"[2241 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Pierce St & Avila St,[Marina/Cow Hollow],"{u'latitude': 37.8001785, u'longitude': -122.4402313}",37.8001785,-122.4402313
21,reed-and-greenough-san-francisco,False,Reed & Greenough,https://s3-media2.fl.yelpcdn.com/bphoto/IfEHoHCXoLcav6kVNb5pGw/ms.jpg,https://www.yelp.com/biz/reed-and-greenough-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/reed-and-greenough-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4159137021,+1-415-913-7021,178.0,"[[Lounges, lounges], [Cocktail Bars, cocktailbars], [Piano Bars, pianobars]]",3.5,Beautifully arranged bar on Scott between Lombard and Chestnut. Mind the dress code. No Marina douches (like your basecap the other way around? Move on to...,[3251 Scott St],"[3251 Scott St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Chestnut St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.7998199, u'longitude': -122.4414}",37.7998199,-122.4414
22,tacolicious-san-francisco,False,Tacolicious,https://s3-media4.fl.yelpcdn.com/bphoto/aDl4l-z3S_4ffexEhB3uiA/ms.jpg,https://www.yelp.com/biz/tacolicious-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/tacolicious-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4156496077,+1-415-649-6077,1326.0,"[[Mexican, mexican], [Cocktail Bars, cocktailbars]]",4.0,My friends and I dropped into Tacolicious for a late lunch on a Saturday.  This vibe in was poppin'!  It was certainly a fun party with fun music playing...,[2250 Chestnut St],"[2250 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Scott St & Avila St,[Marina/Cow Hollow],"{u'latitude': 37.8004125, u'longitude': -122.4404725}",37.8004125,-122.4404725
23,monaghans-san-francisco-2,False,Monaghan's,https://s3-media4.fl.yelpcdn.com/bphoto/WVJN5MEvLPCmF0AKESBNXw/ms.jpg,https://www.yelp.com/biz/monaghans-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/monaghans-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4158727916,+1-415-872-7916,206.0,"[[Sports Bars, sportsbars]]",3.5,This is my favorite Irish bar in San Francisco located in the marina.  Go here and you will see why.,[3243 Pierce St],"[3243 Pierce St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Chestnut St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.80005, u'longitude': -122.43963}",37.80005,-122.43963
24,nectar-wine-lounge-san-francisco,False,Nectar Wine Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/U0RDCGPDzC5afLpRr8fbnQ/ms.jpg,https://www.yelp.com/biz/nectar-wine-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/nectar-wine-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153451377,+1-415-345-1377,468.0,"[[Wine Bars, wine_bars], [American (New), newamerican]]",4.0,"Great selection of wine, authentic and deeply human staff that treat people like best friends. It's pretty awesome. Happy hour is great here, and you will...",[3330 Steiner St],"[3330 Steiner St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Chestnut St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.8001656, u'longitude': -122.4375265}",37.8001656,-122.4375265
25,stock-in-trade-san-francisco,False,Stock In Trade,https://s3-media1.fl.yelpcdn.com/bphoto/DuiDCcAZfoRVBFxg1SGPww/ms.jpg,https://www.yelp.com/biz/stock-in-trade-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/stock-in-trade-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4158293000,+1-415-829-3000,304.0,"[[Gastropubs, gastropubs]]",3.5,"A friend of mine recently told me a revelation: ""A mimosa a day keeps the doctor away"" I owe it to Stock in Trade for keeping me healthy and filled with...",[2036 Lombard St],"[2036 Lombard St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Webster St & Fillmore St,[Marina/Cow Hollow],"{u'latitude': 37.8001999, u'longitude': -122.43556}",37.8001999,-122.43556
