,id,is_closed,name,image_url,url,mobile_url,phone,display_phone,review_count,categories,rating,snippet_text,location_address,location_display_address,location_city,location_state_code,location_postal_code,location_country_code,location_cross_streets,location_neighborhoods,location_coordinate
10,presidio-officers-club-san-francisco,False,Presidio Officers' Club,https://s3-media1.fl.yelpcdn.com/bphoto/GeqJkEipL-Y1VUBZjWzl0w/ms.jpg,https://www.yelp.com/biz/presidio-officers-club-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/presidio-officers-club-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155614165,+1-415-561-4165,35.0,"[[Venues & Event Spaces, venues], [Museums, museums], [Performing Arts, theater]]",4.0,"Free
And had
Some of the 
Best recounting
Of SF's history. Not far from bridge.",[50 Moraga Ave],"[50 Moraga Ave, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.797547, u'longitude': -122.4589239}"
11,the-walt-disney-family-museum-san-francisco,False,The Walt Disney Family Museum,https://s3-media1.fl.yelpcdn.com/bphoto/tcGztLHpEzYUHXKNB1KOfw/ms.jpg,https://www.yelp.com/biz/the-walt-disney-family-museum-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/the-walt-disney-family-museum-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153456800,+1-415-345-6800,734.0,"[[Museums, museums]]",4.5,Super cute museum in the Presidio that is a must-visit for Disney fans! The museum is two floors high and quite wide across. There are elevators and ramps...,"[Presidio of San Francisco, 104 Montgomery St]","[Presidio of San Francisco, 104 Montgomery St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.8009002347, u'longitude': -122.45850563}"
12,sessions-at-the-presidio-san-francisco,False,Sessions at the Presidio,https://s3-media1.fl.yelpcdn.com/bphoto/hpKgnXqhjqIRbTKU6c-_UQ/ms.jpg,https://www.yelp.com/biz/sessions-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/sessions-at-the-presidio-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4156559413,+1-415-655-9413,209.0,"[[American (New), newamerican], [Breakfast & Brunch, breakfast_brunch], [Bars, bars]]",4.0,"Making a reservation for 3 on a Saturday evening was probably a good idea... the place looked pretty full.

For drinks I ordered the Rose Raz Redemption and...","[1 Letterman Dr, Bldg D, Ste 150]","[1 Letterman Dr, Bldg D, Ste 150, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.7992754582, u'longitude': -122.447810809}"
13,golden-gate-market-deli-and-liquor-san-francisco-2,False,Golden Gate Market Deli & Liquor,https://s3-media4.fl.yelpcdn.com/bphoto/EKMZpkEb_fBYqsJ6QjSNGw/ms.jpg,https://www.yelp.com/biz/golden-gate-market-deli-and-liquor-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/golden-gate-market-deli-and-liquor-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153466052,+1-415-346-6052,75.0,"[[Delis, delis], [Beer, Wine & Spirits, beer_and_wine]]",4.5,"Best deli (la bodega) in SF. I Always get two sandwiches here, because the san franpsycho is #1. It can get pretty loud in there with 40 different sandwich...",[2767 Lombard St],"[2767 Lombard St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Baker St & Lyon St,[Marina/Cow Hollow],"{u'latitude': 37.7983492, u'longitude': -122.4471147}"
14,baker-street-bistro-san-francisco,False,Baker Street Bistro,https://s3-media1.fl.yelpcdn.com/bphoto/nuSLoNBgO-AWAiD7we-XKw/ms.jpg,https://www.yelp.com/biz/baker-street-bistro-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/baker-street-bistro-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4159311475,+1-415-931-1475,523.0,"[[French, french], [Breakfast & Brunch, breakfast_brunch]]",4.0,"My bf's parents had dinner here and highly recommended it, so we checked it out for brunch. My bf was initially disappointed because he realized that the...",[2953 Baker St],"[2953 Baker St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Greenwich St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.7981264, u'longitude': -122.4460534}"
15,presidio-social-club-san-francisco,False,Presidio Social Club,https://s3-media1.fl.yelpcdn.com/bphoto/6JIC5BEc7zA8alTIRLDwaw/ms.jpg,https://www.yelp.com/biz/presidio-social-club-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/presidio-social-club-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4158851888,+1-415-885-1888,955.0,"[[American (New), newamerican], [Bars, bars]]",3.5,"Loud!
My first impression of this restaurant is that it's very loud. That's OK I guess. Lucky for us we sat in a separate room with only a few tables so it...",[563 Ruger St],"[563 Ruger St, Presidio, San Francisco, CA 94129]",San Francisco,CA,94129,US,,[Presidio],"{u'latitude': 37.797111, u'longitude': -122.4478261}"
16,pizzeria-avellino-san-francisco,False,Pizzeria Avellino,https://s3-media4.fl.yelpcdn.com/bphoto/A9UmJguy1SZkSTcZsZxBWA/ms.jpg,https://www.yelp.com/biz/pizzeria-avellino-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/pizzeria-avellino-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4157762500,+1-415-776-2500,239.0,"[[Pizza, pizza]]",4.0,"You' think finding a great pizza-by-the-slice spot in San Francisco would be easy. Actually, it's surprisingly hard, at least when it comes to a quality...",[2769 Lombard St],"[2769 Lombard St, Presidio, San Francisco, CA 94123]",San Francisco,CA,94123,US,Baker St & Lyon St,"[Presidio, Marina/Cow Hollow]","{u'latitude': 37.7983059, u'longitude': -122.447071}"
17,presidio-food-mart-san-francisco,False,Presidio Food Mart,https://s3-media2.fl.yelpcdn.com/bphoto/F0nzJAjhkmiP57JwWGlytQ/ms.jpg,https://www.yelp.com/biz/presidio-food-mart-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/presidio-food-mart-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155671179,+1-415-567-1179,5.0,"[[Grocery, grocery]]",3.5,"Presidio Food Mart fulfills all the requirments of any corner store, it has an adequate supply of milk, bread and junk food. What I love most about this...",[2901 Baker St],"[2901 Baker St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Greenwich St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.7978, u'longitude': -122.44598}"
18,palace-of-fine-arts-theatre-san-francisco-2,False,Palace of Fine Arts Theatre,https://s3-media3.fl.yelpcdn.com/bphoto/M44GqfhMTf-S5MdZpz52BA/ms.jpg,https://www.yelp.com/biz/palace-of-fine-arts-theatre-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/palace-of-fine-arts-theatre-san-francisco-2?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155636504,+1-415-563-6504,9.0,"[[Performing Arts, theater]]",3.5,"We came to this theater for the 38th annual San Francisco Ethnic Dance Festival, which is held over the span of 3 weekends with two shows (2pm, 8pm) for Sat...",[3301 Lyon St],"[3301 Lyon St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Bay St,[Marina/Cow Hollow],"{u'latitude': 37.802026, u'longitude': -122.448831}"
19,the-final-final-san-francisco,False,The Final Final,https://s3-media2.fl.yelpcdn.com/bphoto/UGj7ltpRQbOr1c3dYBjCFA/ms.jpg,https://www.yelp.com/biz/the-final-final-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/the-final-final-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4159317800,+1-415-931-7800,190.0,"[[Sports Bars, sportsbars]]",3.5,"Finally, I've got some time to review the final, ultimate sports bar in the Marina/Cow Hollow district, a sleepy neighborhood dive called the Final Final....",[2990 Baker St],"[2990 Baker St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Greenwich St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.79852, u'longitude': -122.44569}"
20,nectar-wine-lounge-san-francisco,False,Nectar Wine Lounge,https://s3-media2.fl.yelpcdn.com/bphoto/U0RDCGPDzC5afLpRr8fbnQ/ms.jpg,https://www.yelp.com/biz/nectar-wine-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/nectar-wine-lounge-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153451377,+1-415-345-1377,468.0,"[[Wine Bars, wine_bars], [American (New), newamerican]]",4.0,"Great selection of wine, authentic and deeply human staff that treat people like best friends. It's pretty awesome. Happy hour is great here, and you will...",[3330 Steiner St],"[3330 Steiner St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Chestnut St & Lombard St,[Marina/Cow Hollow],"{u'latitude': 37.8001656, u'longitude': -122.4375265}"
21,west-coast-wine-cheese-san-francisco,False,West Coast Wine - Cheese,https://s3-media3.fl.yelpcdn.com/bphoto/y6pXHMo_M5AiK4BhF77p8g/ms.jpg,https://www.yelp.com/biz/west-coast-wine-cheese-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/west-coast-wine-cheese-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153769720,+1-415-376-9720,73.0,"[[Wine Bars, wine_bars], [Comfort Food, comfortfood]]",4.0,"West coast is such a hidden gem in san Francisco. The decor is simple but very elegantly done, I would feel comfortable coming in after a long day or after...",[2165 Union St],"[2165 Union St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Webster St & Fillmore St,[Marina/Cow Hollow],"{u'latitude': 37.7970139, u'longitude': -122.4349293}"
22,california-wine-merchant-san-francisco,False,California Wine Merchant,https://s3-media1.fl.yelpcdn.com/bphoto/wYmIGCZ7jaDtPSKVLWYToQ/ms.jpg,https://www.yelp.com/biz/california-wine-merchant-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/california-wine-merchant-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4155670646,+1-415-567-0646,265.0,"[[Beer, Wine & Spirits, beer_and_wine], [Wine Bars, wine_bars]]",3.5,"So this is one of my favorite wine bars in the city, very home-y feeling. My friends and I call this place Greg's because the owner, who is the nicest guy...",[2113 Chestnut St],"[2113 Chestnut St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Steiner St & Pierce St,[Marina/Cow Hollow],"{u'latitude': 37.80028, u'longitude': -122.43818}"
23,cellar-door-sf-san-francisco,False,Cellar Door Sf,https://s3-media1.fl.yelpcdn.com/bphoto/WpycgrkXp9ssOHbCrF89Vg/ms.jpg,https://www.yelp.com/biz/cellar-door-sf-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/cellar-door-sf-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4154411461,+1-415-441-1461,89.0,"[[Wine Bars, wine_bars]]",4.0,"Five stars for the Cellar Door. We loved our experience here. Felt like we were over a friend's house. Self serve cheese, crackers, nuts and dried...",[3131 Fillmore],"[3131 Fillmore, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Filbert St & Pixley St,[Marina/Cow Hollow],"{u'latitude': 37.7983704, u'longitude': -122.4360428}"
24,michaelis-wine-and-spirit-san-francisco,False,Michaelis Wine & Spirit,https://s3-media3.fl.yelpcdn.com/bphoto/Z3wQq0CJL52Ch16PIFjE7A/ms.jpg,https://www.yelp.com/biz/michaelis-wine-and-spirit-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/michaelis-wine-and-spirit-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4159215700,+1-415-921-5700,162.0,"[[Beer, Wine & Spirits, beer_and_wine], [Ice Cream & Frozen Yogurt, icecream]]",4.5,I selfishly appreciate Michealis W&S because they take Frozen Yogurt orders over the phone and freeze it till pick up which is really convenient.  Everyone...,[2198 Union St],"[2198 Union St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Webster St & Fillmore St,[Marina/Cow Hollow],"{u'latitude': 37.79728, u'longitude': -122.43536}"
25,plumpjack-wine-and-spirits-san-francisco,False,PlumpJack Wine & Spirits,https://s3-media2.fl.yelpcdn.com/bphoto/vwqQJcS7pm_ile0FhKKnjQ/ms.jpg,https://www.yelp.com/biz/plumpjack-wine-and-spirits-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,https://m.yelp.com/biz/plumpjack-wine-and-spirits-san-francisco?adjust_creative=SD5ybcet2QSwWXz2N7M5lw&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=SD5ybcet2QSwWXz2N7M5lw,4153469870,+1-415-346-9870,35.0,"[[Beer, Wine & Spirits, beer_and_wine]]",3.5,"Plumpjack is a convenient place to pick up wine and spirits in Marina/Cow Hollow. The store is clean, organized and not overwhelming. Every time I visited...",[3201 Fillmore St],"[3201 Fillmore St, Marina/Cow Hollow, San Francisco, CA 94123]",San Francisco,CA,94123,US,Moulton St & Greenwich St,[Marina/Cow Hollow],"{u'latitude': 37.799091, u'longitude': -122.436172}"
